transaction_id,purchase_date,customer_name,item_category,brand,unit_price,quantity_sold,payment_method,store_location,customer_rating,is_returned
34,5/30/2025,Freda Blampey,Mice,G.Skill,17135.77,5,Credit Card,Makati,1,false
35,6/6/2025,Simeon Esterbrook,Keyboards,Lian Li,60858.35,4,Credit Card,Pasig,5,true
36,4/15/2025,Debby Moughtin,Cooling Systems,Gigabyte,99098.81,5,Debit Card,Bacoor,5,true
37,4/6/2025,Court Herculeson,Motherboards,Seasonic,85020.67,5,Debit Card,Davao City,1,true
38,9/11/2025,Alastair Inwood,RAM,Corsair,56353.59,4,Maya,Bacoor,3,false
39,1/31/2025,Dur Staff,GPUs,MSI,67879.29,5,Cash,Pasig,3,true
40,9/25/2025,Sherri Kellett,Power Supplies,G.Skill,91298.47,3,Cash,Davao City,5,false
41,9/27/2025,Arnoldo Obert,GPUs,Asus,10180.24,3,Cash,Taguig,5,true
42,4/24/2025,Otho Selvey,RAM,Logitech,7709.48,5,Maya,Makati,3,false
43,11/18/2025,Analiese Bufton,Motherboards,Zotac,68621.77,4,Maya,Cebu City,1,false
44,8/9/2025,Price Kerans,Cooling Systems,Keychron,55277.81,5,Credit Card,Bacoor,5,false
45,10/9/2025,Marnie Moneypenny,Power Supplies,Keychron,35628.12,5,GCash,Manila,4,true
46,9/5/2025,Waneta Davenall,Power Supplies,Lian Li,35028.64,4,Cash,Pasig,4,false
47,8/20/2025,Neysa Aubrey,GPUs,Samsung,67898.72,4,Credit Card,Bacoor,4,true
48,1/31/2025,Ernestus Ruckert,Power Supplies,Samsung,58623.41,4,Maya,Quezon City,5,true
49,4/8/2025,Rolph Gorce,Motherboards,Corsair,4074.93,4,Cash,Cebu City,4,true
50,6/22/2025,Janeen Mac Giolla Pheadair,Monitors,Lian Li,99699.8,3,GCash,Bacoor,5,false
51,1/29/2025,Syman Tichelaar,PC Cases,Keychron,54638.89,5,Maya,Mandaluyong,5,true
52,2/14/2025,Vidovik Tod,Cooling Systems,NZXT,53994.28,4,Cash,Manila,3,false
53,3/3/2025,Payton Aldus,Power Supplies,Asus,99750.86,4,Credit Card,Bacoor,1,false
54,6/28/2025,Bethanne Fessler,Keyboards,Logitech,88148.15,4,GCash,Cebu City,2,false
55,1/26/2025,Frasquito Piens,Keyboards,Logitech,84200.2,5,Cash,Quezon City,3,false
56,8/31/2025,Paolo Walsh,Processors,Lian Li,71009.57,3,Maya,Bacoor,2,true
57,11/21/2025,Luigi Leeburn,Monitors,G.Skill,85247.5,3,GCash,Taguig,3,false
58,1/31/2025,Bordy Smallpiece,Power Supplies,Seasonic,28212.31,5,Cash,Cebu City,2,false
59,12/7/2025,Myrtle Matzaitis,Keyboards,Asus,62583.04,5,Credit Card,Taguig,3,true
60,8/16/2025,Archy Reubens,Mice,Intel,96844.78,5,Maya,Davao City,5,true
61,9/6/2025,Pattie Ledstone,RAM,Corsair,25904.68,4,Cash,Manila,5,true
62,10/26/2025,Portia Breese,Motherboards,Keychron,85593.78,4,Maya,Bacoor,4,true
63,4/25/2025,Carlotta Gillebert,Keyboards,MSI,53596.67,3,Cash,Makati,5,true
64,1/5/2025,Arney Skitteral,PC Cases,Intel,33472.09,5,Cash,Makati,4,true
65,3/30/2025,Novelia Glasson,Motherboards,LG,36748.35,4,Maya,Bacoor,3,true
66,6/21/2025,Zita Pratt,Power Supplies,Zotac,73558.37,3,GCash,Taguig,5,false
67,9/19/2025,Blondy Normansell,Mice,Corsair,40279.9,4,Cash,Davao City,2,false
68,9/27/2025,Duff Lowerson,PC Cases,Lian Li,31187.74,5,Debit Card,Quezon City,3,false
69,12/22/2025,Thor Frood,Motherboards,AMD,83167.4,5,Cash,Quezon City,2,false
70,11/30/2025,Ludwig Jillings,Power Supplies,AMD,95440.95,4,Cash,Makati,3,true
71,8/21/2025,Jonathon Drysdell,PC Cases,Asus,9069.97,5,Credit Card,Taguig,4,true
72,3/27/2025,Jone Brundrett,Mice,Lian Li,82195.84,3,Credit Card,Bacoor,2,false
73,12/28/2025,Lela Gorelli,Motherboards,Keychron,44026.06,3,Credit Card,Taguig,4,false
74,1/15/2025,Theobald McPartling,Processors,Asus,75039.84,3,Cash,Cebu City,1,false
75,4/16/2025,Westleigh Toseland,Processors,Asus,19234.65,5,Maya,Mandaluyong,2,true
76,12/10/2025,Burl Glencros,RAM,MSI,7588.21,3,Credit Card,Pasig,1,false
77,12/3/2025,Cherise Bertie,GPUs,NZXT,79924.99,3,GCash,Cebu City,4,false
78,8/27/2025,Bryant Conaghy,Power Supplies,LG,46409.9,3,Credit Card,Quezon City,1,true
79,11/27/2025,Mateo Meere,Mice,Lian Li,27745.74,4,Maya,Quezon City,4,false
80,3/21/2025,Duff Savile,Power Supplies,Cooler Master,12296.34,4,Debit Card,Taguig,5,true
81,2/16/2025,Adlai Baus,Cooling Systems,Asus,39796.25,5,Credit Card,Quezon City,3,true
82,6/16/2025,Abie Keough,RAM,MSI,85169.87,5,Cash,Cebu City,2,false
83,8/16/2025,Jerome Giotto,RAM,Zotac,43678.53,3,Cash,Cebu City,5,true
84,6/17/2025,Web Moneypenny,RAM,Corsair,14361.93,3,Debit Card,Quezon City,2,true
85,1/15/2025,Dasi Viggars,PC Cases,Zotac,3686.44,4,Credit Card,Davao City,3,false
86,9/21/2025,Freeland Slorach,Cooling Systems,Lian Li,62722.82,5,GCash,Cebu City,2,false
87,1/1/2025,Irwin Shuttlewood,Mice,Samsung,99759.13,3,Credit Card,Taguig,5,true
88,9/6/2025,Ruby Rassmann,Mice,Gigabyte,86505.79,5,Maya,Manila,1,false
89,7/9/2025,Marj Pegg,Power Supplies,NZXT,20269.28,5,Cash,Cebu City,2,false
90,8/15/2025,Dillie Ogilvy,GPUs,MSI,32463.32,3,Credit Card,Davao City,1,false
91,4/25/2025,Shadow Lawrinson,Cooling Systems,G.Skill,15305.83,5,Cash,Makati,4,true
92,9/28/2025,Roz Hixson,Cooling Systems,Razer,10354.49,5,GCash,Cebu City,5,true
93,5/23/2025,Camala Cockren,Processors,Samsung,21689.33,4,Maya,Pasig,1,false
94,5/21/2025,Theda Yosevitz,Monitors,Samsung,86888.24,3,GCash,Makati,5,false
95,7/1/2025,Yelena Morsom,RAM,Zotac,3457.7,3,Credit Card,Manila,5,false
96,8/16/2025,Ryan Trawin,PC Cases,Asus,97686.85,3,Maya,Mandaluyong,1,false
97,6/28/2025,Pennie Doughartie,Power Supplies,Corsair,26906.26,5,Credit Card,Quezon City,1,true
98,2/24/2025,Horatio Cambridge,Mice,Asus,29399.3,4,GCash,Quezon City,1,false
99,11/1/2025,Annissa Sinkin,GPUs,Razer,88190.71,4,Maya,Manila,3,false
100,11/28/2025,Karlotte Gaither,Motherboards,Razer,26227.67,4,Cash,Cebu City,3,true
101,6/5/2025,Phelia Manntschke,RAM,MSI,40213.52,4,Debit Card,Mandaluyong,3,true
102,1/28/2025,Cordie Adaway,Motherboards,Keychron,47564.6,3,Credit Card,Pasig,4,true
103,10/22/2025,Meggie Willmore,Monitors,Samsung,61199.81,3,Maya,Taguig,4,true
104,7/5/2025,Rorie Lippitt,Processors,NZXT,40753.69,5,Maya,Makati,4,true
105,10/24/2025,Yovonnda Deyes,RAM,Intel,16339.26,5,Cash,Cebu City,4,true
106,2/4/2025,Tabitha Boustred,Processors,Seasonic,5644.7,4,GCash,Davao City,3,false
107,6/9/2025,Glennie Faulo,Monitors,Gigabyte,3335.09,4,Debit Card,Taguig,3,false
108,10/27/2025,Othilia Pierucci,PC Cases,Razer,46944.1,4,GCash,Makati,2,true
109,10/10/2025,Britney Eccleshare,Power Supplies,Samsung,28052.93,4,Cash,Davao City,3,true
110,12/15/2025,Jamill Rallinshaw,Motherboards,LG,27805.24,5,GCash,Cebu City,4,false
111,11/4/2025,Glen Keeffe,Monitors,LG,86088.74,5,Credit Card,Cebu City,1,true
112,2/22/2025,Nonah Sparrow,Mice,Zotac,9193.11,5,Maya,Makati,5,false
113,3/31/2025,Guilbert Vasyunichev,Processors,LG,75558.6,5,Cash,Mandaluyong,5,false
114,6/7/2025,Tresa Fagge,RAM,NZXT,75640.49,4,Debit Card,Pasig,3,true
115,9/24/2025,Artemis Drever,Keyboards,Lian Li,33814.52,4,Credit Card,Davao City,1,false
116,11/25/2025,Beniamino Humbell,RAM,Intel,89874.56,3,Cash,Manila,1,false
117,9/4/2025,Gloria Zollner,Cooling Systems,Seasonic,52284.57,4,Debit Card,Taguig,2,false
118,1/5/2025,Sibylle Crampsy,PC Cases,G.Skill,37665.37,4,Cash,Cebu City,1,true
119,3/28/2025,Roxane Murkitt,Monitors,G.Skill,21122.97,4,Debit Card,Pasig,3,false
120,10/13/2025,Lenore Tiddeman,GPUs,Samsung,90489.42,3,Maya,Bacoor,2,true
121,6/27/2025,Alain Begg,Keyboards,MSI,6849.07,3,Debit Card,Cebu City,1,true
122,10/14/2025,Darnell O'Donoghue,Power Supplies,Razer,43479.38,5,Maya,Cebu City,4,false
123,10/8/2025,Vida Slay,Motherboards,Logitech,2541.77,3,Credit Card,Makati,2,true
124,10/22/2025,Berk Matityahu,Mice,AMD,70237.78,4,Credit Card,Bacoor,1,true
125,1/16/2025,Wilburt Peartree,Power Supplies,LG,98680.52,3,Maya,Pasig,4,true
126,5/4/2025,Moises Ewles,RAM,AMD,24345.17,3,GCash,Quezon City,3,true
127,7/14/2025,Maryann Marsie,GPUs,Samsung,52868.48,4,GCash,Mandaluyong,5,true
128,3/2/2025,Robbi Feldmus,Power Supplies,Corsair,12869.74,4,Cash,Pasig,3,true
129,6/26/2025,Nessi Oulett,Motherboards,LG,82579.15,4,Credit Card,Manila,1,false
130,11/16/2025,Hyacintha Crunkhurn,RAM,MSI,21418.1,5,Cash,Bacoor,1,true
131,2/25/2025,Eldridge Bayles,Power Supplies,Seasonic,5709.71,4,Credit Card,Mandaluyong,5,false
132,2/5/2025,Babara Halbeard,Motherboards,AMD,15771.98,5,Debit Card,Manila,5,false
133,4/16/2025,Tybi Onions,GPUs,Logitech,28494.9,3,GCash,Mandaluyong,2,true
134,2/22/2025,Lenard Swaysland,Cooling Systems,Razer,545.83,4,Debit Card,Davao City,3,true
135,9/4/2025,Shelia Twiggs,Mice,Logitech,11328.22,5,GCash,Mandaluyong,4,true
136,8/30/2025,Alfredo Damp,Power Supplies,Gigabyte,58479.75,3,GCash,Makati,4,true
137,2/8/2025,Helyn Casbon,Power Supplies,Keychron,93551.26,4,Cash,Davao City,5,true
138,1/13/2025,Anabel Boughton,Keyboards,Samsung,66517.04,3,Debit Card,Quezon City,4,false
139,9/20/2025,Elora Heighway,PC Cases,Lian Li,77734.25,5,Cash,Cebu City,4,true
140,8/21/2025,Giralda Guise,Motherboards,G.Skill,38777.21,5,Credit Card,Pasig,3,true
141,9/2/2025,Cyndie Woodrup,Keyboards,Samsung,75506.62,3,Debit Card,Makati,5,true
142,3/19/2025,Robinette Tabbernor,RAM,Logitech,34612.45,3,Maya,Pasig,2,false
143,10/22/2025,Myrtice Warland,Keyboards,Asus,50409.19,5,GCash,Mandaluyong,3,false
144,5/20/2025,Fredericka Barford,Monitors,Gigabyte,66058.37,4,Credit Card,Mandaluyong,1,false
145,3/24/2025,Teodoro Fowlestone,Keyboards,NZXT,59301.62,3,Debit Card,Cebu City,2,true
146,4/12/2025,Vincenz McGonnell,Monitors,Seasonic,51426.66,3,Debit Card,Manila,3,true
147,12/1/2025,Teodora Del Dello,Cooling Systems,Gigabyte,59712.33,4,Cash,Makati,3,true
148,8/13/2025,Maia Lenden,Power Supplies,Samsung,26380.47,4,Maya,Davao City,1,true
149,9/20/2025,Tonya Hardie,Motherboards,Zotac,37255.2,4,Debit Card,Bacoor,1,true
150,2/2/2025,Raeann Juorio,Processors,Cooler Master,8973.64,4,Cash,Quezon City,1,false
151,10/7/2025,Trixy Victoria,Keyboards,Zotac,99787.2,4,Debit Card,Cebu City,2,false
152,5/19/2025,Rasia Hazzard,Keyboards,Samsung,11228.6,3,Cash,Bacoor,4,false
153,3/6/2025,Vivianna Di Claudio,RAM,Zotac,80447.28,3,Cash,Mandaluyong,3,true
154,10/3/2025,Adriane Casotti,Monitors,LG,99289.13,5,GCash,Mandaluyong,3,true
155,8/17/2025,Matilda Warrender,GPUs,Seasonic,74034.46,4,Maya,Mandaluyong,3,false
156,11/16/2025,Marillin Ferrari,Cooling Systems,Seasonic,94669.39,5,Debit Card,Cebu City,2,false
157,12/27/2025,Tadio Huskisson,Mice,Keychron,13659.79,5,Cash,Cebu City,3,true
158,3/10/2025,Allyn Capstake,Monitors,LG,21137.69,5,Cash,Taguig,2,false
159,5/19/2025,Analiese Vasyutichev,Motherboards,Intel,9532.64,4,Maya,Pasig,2,false
160,12/16/2025,Johnath Croson,RAM,NZXT,80264.59,3,Cash,Makati,3,true
161,3/13/2025,Blayne Ogglebie,Power Supplies,Logitech,82582.27,3,Maya,Manila,1,true
162,3/7/2025,Penelope Kinnon,Keyboards,Intel,55033.98,3,Maya,Pasig,4,false
163,11/15/2025,Tiebold Probey,Mice,Intel,14257.91,3,Credit Card,Cebu City,3,true
164,12/16/2025,Kerstin Simons,RAM,NZXT,11646.8,4,Maya,Mandaluyong,1,true
165,4/5/2025,Inger Antonomolii,RAM,Corsair,34681.38,4,Credit Card,Taguig,2,true
166,9/19/2025,Andria Tordiffe,Mice,G.Skill,42326.37,4,Maya,Mandaluyong,2,true
167,3/16/2025,Shelli Giacubbo,Monitors,NZXT,38551.0,3,Maya,Bacoor,1,true
168,7/14/2025,Jareb Marven,Processors,Samsung,51056.9,4,Cash,Davao City,1,true
169,8/30/2025,Wilden Dmtrovic,GPUs,NZXT,85568.21,4,Debit Card,Taguig,1,true
170,11/1/2025,Cariotta Wilshire,Motherboards,Intel,19797.64,5,Credit Card,Bacoor,5,false
171,2/1/2025,Derrek Mossop,RAM,MSI,55326.73,4,GCash,Davao City,1,false
172,2/26/2025,Jackson Higgonet,GPUs,Zotac,60832.86,4,GCash,Manila,5,false
173,7/27/2025,Cammy Spurden,Processors,G.Skill,98164.9,5,Credit Card,Makati,5,true
174,12/15/2025,Valene Giannassi,Processors,Intel,41397.96,4,Cash,Taguig,4,true
175,12/7/2025,Isabeau Cookman,Processors,Intel,23294.17,5,Maya,Makati,4,false
176,4/29/2025,Hilary Edmenson,GPUs,Seasonic,25744.06,4,GCash,Pasig,3,true
177,10/22/2025,Neysa Brangan,GPUs,Seasonic,78571.07,4,Credit Card,Makati,5,false
178,2/3/2025,Starlin Snawdon,Power Supplies,Seasonic,8116.72,5,GCash,Davao City,1,true
179,6/19/2025,Nessa Farfull,Cooling Systems,Seasonic,73514.12,3,Maya,Mandaluyong,2,true
180,4/1/2025,Ardeen Babin,RAM,Seasonic,73184.74,5,Maya,Makati,1,true
181,11/27/2025,Sabrina Rosenschein,Cooling Systems,AMD,10448.62,3,GCash,Manila,5,true
182,9/24/2025,Birgit Fulton,Mice,Logitech,26164.46,5,GCash,Quezon City,2,true
183,12/13/2025,Dukie Giacomuzzi,Mice,Logitech,1260.0,5,Maya,Cebu City,3,true
184,5/25/2025,Madonna Harfoot,Monitors,Razer,1246.59,5,Debit Card,Davao City,5,false
185,5/9/2025,Amitie Suffe,Keyboards,G.Skill,43173.99,4,Credit Card,Davao City,1,false
186,8/15/2025,Merola Garnsey,Motherboards,Lian Li,44007.03,5,Maya,Pasig,5,true
187,12/1/2025,Allard Rope,RAM,Cooler Master,35075.35,4,Debit Card,Davao City,3,true
188,10/13/2025,Estelle Baudins,Processors,LG,22835.62,5,Maya,Davao City,1,true
189,3/28/2025,Caryl Attwool,Motherboards,Razer,22229.9,5,Credit Card,Cebu City,5,false
190,9/29/2025,Joaquin Zanuciolii,Keyboards,Samsung,87702.08,5,Cash,Pasig,2,true
191,7/2/2025,Gabriele Schooling,Mice,NZXT,44248.93,5,Maya,Cebu City,1,true
192,4/11/2025,Gabriellia Bax,RAM,Asus,15222.01,4,Cash,Makati,4,true
193,12/26/2025,Thurstan Burnage,Mice,Gigabyte,55029.04,5,GCash,Mandaluyong,3,false
194,11/20/2025,Marylee Bastie,Cooling Systems,Seasonic,58652.02,4,Cash,Davao City,4,false
195,8/31/2025,Morissa Dwelly,GPUs,Intel,80170.25,5,Maya,Mandaluyong,5,false
196,6/1/2025,Alford Van Niekerk,GPUs,Zotac,81722.6,3,Cash,Pasig,5,false
197,5/31/2025,Claire Woodroof,RAM,Logitech,89954.45,4,Cash,Bacoor,2,false
198,2/16/2025,Constantine Sainsbury,Motherboards,Keychron,33690.0,5,Maya,Cebu City,5,false
199,1/29/2025,Gilberto McGinly,Keyboards,Logitech,14983.22,3,GCash,Cebu City,3,true
200,6/25/2025,Hersch Rudgard,Motherboards,Intel,65648.28,5,Debit Card,Makati,5,false
201,9/2/2025,Minnie Melsom,RAM,Zotac,77250.31,4,Cash,Quezon City,3,false
202,6/14/2025,Jordan Durand,PC Cases,Keychron,73397.9,4,Credit Card,Pasig,5,true
203,7/16/2025,Leif Vittet,Mice,AMD,15569.08,4,GCash,Bacoor,2,false
204,12/9/2025,Ignatius Gorner,PC Cases,Corsair,50911.72,5,GCash,Bacoor,1,false
205,3/15/2025,Darla Janaszkiewicz,Motherboards,Gigabyte,41490.67,3,Maya,Pasig,4,false
206,7/8/2025,Garrott Dulany,Keyboards,MSI,16169.75,4,Credit Card,Makati,2,false
207,6/18/2025,Cullen Donaho,Power Supplies,Keychron,33056.03,5,Debit Card,Makati,4,false
208,1/20/2025,Kaitlyn Robillard,Motherboards,Gigabyte,3538.49,5,Credit Card,Davao City,5,false
209,7/21/2025,Jodie Gallichiccio,Mice,Razer,4334.61,4,Debit Card,Makati,1,true
210,6/9/2025,Beau Camilletti,PC Cases,Lian Li,74355.36,4,Credit Card,Quezon City,3,false
211,12/11/2025,Ransom Bausor,Mice,Asus,15264.95,5,Maya,Makati,3,false
212,12/5/2025,Roberta Cornillot,PC Cases,NZXT,4317.51,5,GCash,Makati,2,false
213,1/15/2025,Juan Domelaw,PC Cases,Keychron,49402.64,3,Cash,Davao City,2,true
214,3/14/2025,Errol Mabbs,Power Supplies,Cooler Master,80148.96,3,Debit Card,Manila,3,false
215,10/18/2025,Lora Lawie,Monitors,Corsair,85513.55,5,Credit Card,Pasig,3,true
216,12/18/2025,Melisande Cowtherd,Processors,Lian Li,51533.01,5,GCash,Davao City,4,true
217,9/1/2025,Giralda Lowten,Motherboards,Gigabyte,46963.25,5,GCash,Quezon City,2,true
218,5/1/2025,Biddy Matuszak,Power Supplies,Logitech,97792.74,3,Maya,Pasig,3,false
219,9/7/2025,Leanna Dowbekin,PC Cases,Keychron,78537.49,3,Maya,Mandaluyong,3,false
220,10/1/2025,Delmar Halpin,Keyboards,NZXT,33791.63,3,Maya,Pasig,5,false
221,4/13/2025,Taddeusz Dalgardno,Mice,Intel,1307.0,4,GCash,Manila,2,true
222,3/31/2025,Josee Kleinmintz,Keyboards,NZXT,97364.6,5,Credit Card,Quezon City,1,false
223,7/9/2025,Kendall Boyet,RAM,G.Skill,37752.85,5,GCash,Quezon City,4,false
224,2/21/2025,Vivi Fuggles,Keyboards,G.Skill,15641.8,5,GCash,Mandaluyong,5,false
225,5/10/2025,Paige Meneer,Cooling Systems,AMD,36725.56,3,Debit Card,Davao City,2,false
226,4/21/2025,Matilde Foyster,Motherboards,Corsair,64173.19,3,Credit Card,Mandaluyong,1,false
227,8/6/2025,Bud Gater,Keyboards,Intel,99561.25,5,Maya,Taguig,3,false
228,7/27/2025,Bernardina Cutriss,Mice,Intel,67328.82,4,Cash,Pasig,2,true
229,4/13/2025,Elmira Bristo,Processors,Intel,62915.92,5,Debit Card,Bacoor,1,true
230,1/27/2025,Stephana Canas,Keyboards,Keychron,39462.07,5,Maya,Pasig,2,true
231,4/20/2025,Nanete Bullen,PC Cases,Samsung,35399.93,4,GCash,Davao City,5,false
232,12/12/2025,Leda Wedmore,Monitors,Keychron,68493.11,4,Maya,Pasig,2,false
233,7/15/2025,Nicole Snare,Keyboards,AMD,59726.01,4,Maya,Cebu City,5,false
234,6/17/2025,Conny Bagenal,Power Supplies,LG,86471.73,4,Debit Card,Mandaluyong,1,true
235,12/18/2025,Inessa Guslon,Monitors,Samsung,33324.82,3,Credit Card,Mandaluyong,3,true
236,3/6/2025,Montgomery Pethybridge,Power Supplies,AMD,90717.41,3,GCash,Pasig,5,true
237,10/2/2025,Chic Castillon,PC Cases,G.Skill,80716.38,3,GCash,Bacoor,4,true
238,1/31/2025,Leland Stratton,Processors,Samsung,25661.58,5,Maya,Manila,5,false
239,6/26/2025,Lester Griniov,Processors,G.Skill,27481.74,4,Maya,Davao City,5,false
240,3/11/2025,Drake Regan,Keyboards,NZXT,24085.57,4,GCash,Manila,5,false
241,1/24/2025,Romeo O'Flaverty,GPUs,Cooler Master,56680.0,3,GCash,Makati,1,false
242,7/29/2025,Enid Petroselli,PC Cases,Intel,98598.03,3,Maya,Makati,3,false
243,2/17/2025,Mathew Francombe,RAM,Razer,57604.0,3,Cash,Quezon City,1,true
244,3/8/2025,Bevan Infante,Processors,Seasonic,60551.71,4,Debit Card,Bacoor,4,true
245,1/1/2025,Bernarr Cullon,Monitors,AMD,3570.6,4,Credit Card,Davao City,5,false
246,6/14/2025,Lorene Pygott,Cooling Systems,AMD,79621.43,4,GCash,Cebu City,5,false
247,8/20/2025,Caria Charlon,RAM,Lian Li,19986.67,5,Cash,Davao City,4,true
248,9/16/2025,Carolee Hillock,Mice,Keychron,64990.21,4,Credit Card,Mandaluyong,2,false
249,12/8/2025,Hesther Pauel,GPUs,Corsair,71434.84,3,GCash,Mandaluyong,1,true
250,7/22/2025,Sascha Smurthwaite,RAM,Razer,24217.4,4,GCash,Makati,2,false
251,4/21/2025,Galen Tripney,Motherboards,MSI,97492.96,5,Debit Card,Pasig,1,true
252,3/15/2025,Lowe Bauer,GPUs,Zotac,77427.2,3,GCash,Quezon City,4,true
253,5/8/2025,Vivyan Brusin,Mice,G.Skill,94336.49,3,Cash,Quezon City,2,true
254,6/1/2025,Goldarina Manneville,Motherboards,Zotac,39751.88,3,Cash,Quezon City,3,true
255,11/30/2025,Tess Winfindale,Mice,Razer,11450.09,3,Maya,Taguig,2,true
256,3/7/2025,Bryanty Kunisch,Cooling Systems,Intel,1161.92,4,Cash,Manila,1,true
257,1/6/2025,Elvis Jaycocks,Power Supplies,MSI,90124.6,3,Cash,Davao City,3,true
258,10/15/2025,Ebenezer Feechum,Motherboards,Cooler Master,87869.47,3,GCash,Makati,3,true
259,2/10/2025,Derril Shrimpton,Monitors,Logitech,8679.88,5,Credit Card,Cebu City,4,false
260,1/26/2025,Ivar O'Scanlan,Power Supplies,NZXT,18247.69,3,Credit Card,Taguig,3,false
261,5/7/2025,Anderea Speed,Mice,Keychron,39996.01,3,Debit Card,Mandaluyong,3,true
262,5/14/2025,Rutherford Opy,RAM,NZXT,57655.7,5,Cash,Makati,1,true
263,12/30/2025,Fairfax Metson,Monitors,NZXT,77435.71,4,Debit Card,Pasig,5,true
264,10/9/2025,Bearnard Stearnes,Processors,LG,2795.07,5,Cash,Quezon City,4,false
265,12/7/2025,Christy Worledge,PC Cases,MSI,21602.41,5,GCash,Cebu City,4,true
266,11/4/2025,Philipa Calway,Mice,Samsung,55576.49,4,GCash,Quezon City,5,true
267,2/7/2025,Ferguson Borghese,Power Supplies,G.Skill,83815.62,5,Cash,Quezon City,5,false
268,8/7/2025,Bethanne Boam,Power Supplies,Logitech,91464.23,3,Cash,Taguig,3,true
269,9/28/2025,Korry Whybrow,Monitors,Asus,60146.74,3,GCash,Cebu City,4,false
270,3/24/2025,Geralda Cardello,PC Cases,Razer,9046.65,4,Credit Card,Taguig,5,true
271,5/29/2025,Henriette Lilleycrop,Motherboards,Seasonic,93177.46,4,GCash,Bacoor,1,true
272,3/1/2025,Arlinda McFaul,PC Cases,AMD,38181.6,3,Maya,Makati,4,true
273,11/3/2025,Kirsti Buckston,GPUs,AMD,38380.65,5,Maya,Manila,3,false
274,12/27/2025,Ignacius Minton,Cooling Systems,Seasonic,4305.91,5,GCash,Mandaluyong,5,false
275,8/12/2025,Pren Lace,Cooling Systems,LG,59410.73,3,GCash,Davao City,4,true
276,3/23/2025,Jarad Singyard,Power Supplies,Lian Li,55226.22,3,Maya,Pasig,1,false
277,4/17/2025,Coraline Wogdon,Keyboards,Razer,14741.25,5,Maya,Cebu City,1,true
